0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
6, 1286, 3.3423, 4.0000, 0.0010, 0.0431, 11.2000, 0.3063, -639.0400, 2323.3682, 9.0000, 22.2000, 0.0004, 0.4870, 184.4991, 0.8089, 0.1448, 14.0000, 0.0570, 9.6649, 1.3874, 7.2793, 5.7000, 66.9290, 8.8600, 9.4392, 12.4836, 54.2008, 3.0000, 0.0031, 0.6348
7, 1937, 3.4803, 4.0000, 0.0009, 0.0194, 7.2000, 0.4409, -738.7400, 1673.4464, 14.0000, 25.4000, 0.0003, 0.4545, 144.6281, 0.8036, 0.1660, 23.0000, 0.0332, 9.8571, 1.4803, 6.4961, 3.1000, 55.8194, 9.2000, 11.7837, 15.5143, 69.1429, 6.0000, 0.0111, 0.6212
8, 2662, 3.3750, 4.0000, 0.0009, 0.0308, 5.7000, 0.4514, -1054.2900, 1586.5173, 17.5000, 36.0000, 0.0004, 0.4218, 125.8735, 0.7773, 0.1751, 34.0000, 0.0252, 10.1244, 1.3958, 6.7500, 7.2000, 52.2075, 8.7500, 14.9208, 18.5667, 79.4449, 3.0000, 0.0154, 0.5918
9, 3378, 3.1691, 4.0000, 0.0007, 0.0218, 8.2000, 0.4485, -790.7700, 2548.4397, 15.0000, 27.2000, 0.0002, 0.4610, 216.2869, 0.8026, 0.1603, 32.0000, 0.0205, 10.1176, 1.5441, 6.2647, 6.7000, 48.5946, 9.1300, 13.2386, 17.0565, 46.2349, 10.0000, 0.0154, 0.5887
10, 4160, 3.3088, 4.0000, 0.0019, 0.0241, 6.9000, 0.3971, -490.3700, 1687.8031, 7.0000, 17.0000, 0.0005, 0.5417, 135.0309, 0.7989, 0.1662, 13.0000, 0.0402, 8.7997, 1.3676, 6.4853, 8.1000, 73.8771, 7.7700, 7.1782, 10.3294, 74.0571, 2.0000, 0.0107, 0.7083
1, 0, 2.0000, 4.0000, 0.0088, 0.0000, 23.8000, 0.0000, -546.1300, 1251.3866, 12.5000, 19.0000, 0.0024, 0.7000, 150.0000, 0.8198, 0.1532, 0.0000, 0.0360, 6.2978, 1.5000, 16.0000, 14.6000, 77.9050, 9.3200, 2.8900, 11.8105, 66.6667, 4.0000, 0.0000, 0.8500
2, 21, 3.3760, 4.0000, 0.0011, 0.0293, 7.7000, 0.3600, -737.6200, 1513.8085, 12.0000, 25.4000, 0.0003, 0.4242, 136.5932, 0.8040, 0.1619, 21.0000, 0.0213, 9.9536, 1.4960, 7.5680, 6.7000, 54.8984, 9.0800, 11.8128, 15.8293, 73.2101, 11.0000, 0.0057, 0.6061
3, 706, 3.1837, 4.0000, 0.0017, 0.0436, 8.3000, 0.3776, -565.5300, 1579.2666, 8.5000, 19.6000, 0.0005, 0.4356, 145.0838, 0.7980, 0.1584, 16.0000, 0.0139, 9.6125, 1.3163, 7.5612, 5.7000, 75.5798, 8.9900, 7.5867, 9.4727, 68.9257, 7.0000, 0.0000, 0.6238
4, 1213, 3.4074, 4.0000, 0.0010, 0.0280, 7.4000, 0.3915, -919.0300, 1330.5973, 14.0000, 31.5000, 0.0003, 0.3420, 123.4932, 0.7950, 0.1650, 46.0000, 0.0380, 10.6700, 1.5450, 6.7143, 5.5000, 44.1577, 8.6400, 14.9257, 20.0074, 80.9761, 12.0000, 0.0120, 0.5389
5, 2215, 3.2081, 4.0000, 0.0003, 0.0489, 8.4000, 0.3303, -1075.6600, 1889.3569, 19.0000, 36.8333, 0.0002, 0.3901, 145.1869, 0.7736, 0.1594, 51.0000, 0.0371, 10.8444, 1.4299, 8.0452, 7.6000, 48.4827, 9.1500, 15.6474, 19.6202, 68.8767, 14.0000, 0.0181, 0.5247
6, 3321, 3.3689, 4.0000, 0.0011, 0.0489, 8.1000, 0.3033, -1189.3600, 1633.3672, 18.0000, 40.6667, 0.0004, 0.3920, 194.5600, 0.7651, 0.1599, 18.0000, 0.0457, 10.2275, 1.4426, 8.1311, 9.7000, 43.5124, 9.8200, 17.2930, 20.5290, 51.3980, 5.0000, 0.0261, 0.5600
7, 3936, 3.3582, 4.0000, 0.0006, 0.0413, 10.6000, 0.3433, -1172.5300, 1673.8556, 16.5000, 40.2000, 0.0002, 0.3707, 170.8507, 0.8072, 0.1480, 30.0000, 0.0233, 10.8779, 1.5423, 7.8308, 3.1000, 35.5544, 9.5600, 18.2870, 21.0551, 58.5306, 22.0000, 0.0036, 0.5171
8, 5053, 3.5851, 4.0000, 0.0006, 0.0243, 7.0000, 0.4628, -605.3800, 1832.7547, 6.5000, 20.8889, 0.0002, 0.4082, 170.2416, 0.8086, 0.1672, 45.0000, 0.0233, 10.5021, 1.3511, 7.0585, 3.1000, 71.3328, 7.9000, 8.4992, 10.9087, 58.7401, 4.0000, 0.0000, 0.5612
9, 6084, 3.3387, 4.0000, 0.0011, 0.0465, 8.7000, 0.3710, -509.2100, 1675.6217, 7.5000, 17.7143, 0.0003, 0.4141, 168.4570, 0.7969, 0.1566, 25.0000, 0.0171, 10.0638, 1.2984, 7.3065, 3.1000, 79.0115, 8.3400, 6.6395, 10.3115, 59.3623, 11.0000, 0.0000, 0.5859
10, 6731, 3.2297, 4.0000, 0.0018, 0.0349, 5.6000, 0.3514, -2179.1300, 1061.6694, 36.0000, 74.0000, 0.0016, 0.3243, 346.9686, 0.7909, 0.1743, 2.0000, 0.0027, 10.1032, 1.2432, 5.9189, 13.0000, 26.5466, 10.2900, 27.9403, 32.3027, 28.8211, 3.0000, 0.0000, 0.5000
11, 7106, 3.9204, 4.0000, 0.0004, 0.0272, 9.1000, 0.3694, -913.9400, 1848.8244, 15.0000, 31.4000, 0.0001, 0.3932, 115.0208, 0.8014, 0.1559, 59.0000, 0.0216, 10.7179, 1.5318, 7.5573, 5.7000, 45.3697, 9.3000, 14.7318, 17.2734, 86.9408, 27.0000, 0.0155, 0.5480
12, 8911, 3.1328, 4.0000, 0.0012, 0.0544, 9.3000, 0.3203, -1878.5700, 1565.8825, 27.5000, 64.0000, 0.0003, 0.4341, 193.4980, 0.7856, 0.1536, 24.0000, 0.0304, 10.0481, 1.3828, 7.5469, 7.2000, 24.8891, 10.2400, 25.6872, 29.6625, 51.6801, 7.0000, 0.0064, 0.5891
13, 9538, 3.2273, 3.0000, 0.0009, 0.0706, 8.1000, 0.3030, -1287.9900, 1655.9067, 18.0000, 44.0000, 0.0005, 0.4662, 170.7276, 0.7630, 0.1597, 27.0000, 0.0353, 9.8921, 1.2727, 7.6818, 7.8000, 54.5023, 9.0200, 16.5882, 20.6303, 58.5728, 6.0000, 0.0067, 0.6165
14, 10135, 3.2753, 4.0000, 0.0009, 0.0472, 8.0000, 0.3652, -1039.5100, 1522.1489, 14.0000, 35.6000, 0.0002, 0.3757, 137.3584, 0.7829, 0.1609, 51.0000, 0.0349, 10.5317, 1.3764, 7.5562, 3.1000, 54.2572, 8.4600, 14.5356, 19.1838, 72.8022, 8.0000, 0.0090, 0.5525
15, 11026, 3.9103, 4.0000, 0.0014, 0.0204, 7.9000, 0.4103, -755.5900, 1867.1609, 13.5000, 26.0000, 0.0006, 0.6049, 76.2079, 0.7914, 0.1610, 28.0000, 0.0272, 8.6780, 1.5385, 7.2308, 10.5000, 50.2912, 8.6300, 12.7038, 17.0667, 131.2200, 5.0000, 0.0272, 0.7654
16, 11469, 3.3582, 4.0000, 0.0004, 0.0389, 8.4000, 0.3930, -729.0600, 1891.5121, 13.0000, 25.1250, 0.0002, 0.4306, 173.9887, 0.7905, 0.1592, 50.0000, 0.0237, 10.5756, 1.4876, 7.2935, 6.0000, 55.4854, 8.5100, 11.7620, 15.2241, 57.4750, 21.0000, 0.0114, 0.5550
1, 0, 3.1667, 5.0000, 0.0024, 0.0000, 14.4000, 0.3333, -1346.4700, 1403.8352, 24.5000, 46.0000, 0.0006, 0.6383, 181.0774, 0.8211, 0.1579, 0.0000, 0.0456, 7.9941, 2.1667, 6.6667, 11.2000, 17.4450, 10.9600, 12.3167, 27.0957, 55.2250, 2.0000, 0.0140, 0.7660
2, 47, 4.2053, 4.0000, 0.0004, 0.0160, 8.4000, 0.3947, -952.0500, 2130.7944, 19.0000, 32.6667, 0.0002, 0.4505, 173.0223, 0.8120, 0.1590, 33.0000, 0.0410, 10.4177, 1.6684, 6.4316, 7.2000, 33.5449, 9.4800, 16.4474, 20.8218, 57.7960, 11.0000, 0.0128, 0.5743
3, 1172, 4.1716, 5.0000, 0.0006, 0.0189, 10.4000, 0.3088, -653.8300, 2412.1473, 8.5000, 22.6667, 0.0001, 0.4883, 163.1070, 0.8224, 0.1492, 34.0000, 0.0568, 10.1238, 1.8235, 7.1863, 5.0000, 29.5577, 10.2500, 14.7676, 19.0667, 61.3095, 15.0000, 0.0095, 0.6197
4, 2441, 4.6129, 4.0000, 0.0015, 0.0224, 9.1000, 0.2742, -902.1200, 2579.4590, 15.5000, 31.0000, 0.0004, 0.6875, 126.9531, 0.7843, 0.1541, 9.0000, 0.0504, 8.2881, 1.7258, 6.9516, 7.2000, 29.3668, 9.6200, 16.8645, 21.4323, 78.7692, 3.0000, 0.0392, 0.7969
5, 2800, 4.9273, 4.0000, 0.0006, 0.0192, 9.3000, 0.3455, -682.0700, 3063.5673, 11.0000, 23.5714, 0.0001, 0.5698, 135.8843, 0.8138, 0.1549, 22.0000, 0.0547, 9.6714, 1.6848, 7.0485, 6.2000, 40.3718, 10.5900, 13.4841, 17.4286, 73.5920, 9.0000, 0.0111, 0.6802
6, 3790, 4.6778, 4.0000, 0.0007, 0.0246, 8.5000, 0.3833, -873.1900, 2005.5557, 11.0000, 30.0000, 0.0002, 0.4731, 137.0101, 0.8100, 0.1585, 42.0000, 0.0236, 10.0796, 1.6778, 6.5167, 6.4000, 34.4450, 9.6200, 15.9078, 20.6667, 72.9873, 9.0000, 0.0069, 0.6183
7, 4808, 4.6143, 4.0000, 0.0007, 0.0190, 9.7000, 0.3714, -812.5900, 2188.4416, 15.5000, 28.0000, 0.0002, 0.5241, 127.4673, 0.8226, 0.1524, 40.0000, 0.0393, 9.6778, 1.7357, 6.4429, 5.7000, 31.5736, 10.2500, 15.8114, 20.9143, 78.4515, 12.0000, 0.0048, 0.6621
8, 5650, 4.3689, 4.0000, 0.0005, 0.0264, 8.9000, 0.3463, -746.9500, 1764.1050, 12.0000, 25.7500, 0.0001, 0.3925, 145.1849, 0.8048, 0.1569, 55.0000, 0.0546, 10.7655, 1.6764, 6.6861, 5.5000, 38.8774, 9.0500, 14.2337, 17.5492, 68.8777, 24.0000, 0.0118, 0.5421
9, 7430, 5.1392, 4.0000, 0.0007, 0.0398, 8.2000, 0.3671, -920.9800, 2462.2621, 18.0000, 31.6000, 0.0002, 0.5399, 102.3749, 0.7568, 0.1602, 30.0000, 0.0239, 9.6399, 1.4747, 6.7848, 5.7000, 50.0028, 8.7900, 14.1353, 17.7033, 97.6801, 6.0000, 0.0386, 0.6810
10, 8312, 4.4632, 4.0000, 0.0008, 0.0238, 7.7000, 0.4211, -923.6700, 2361.1608, 14.0000, 31.6667, 0.0002, 0.4667, 150.9533, 0.7992, 0.1637, 48.0000, 0.0324, 10.0855, 1.6000, 5.8684, 6.4000, 39.3333, 8.6100, 15.6400, 18.9825, 66.2456, 13.0000, 0.0133, 0.6205
11, 9365, 4.5674, 4.0000, 0.0008, 0.0307, 7.9000, 0.4157, -644.6500, 1899.9873, 8.0000, 22.2500, 0.0002, 0.4032, 148.5721, 0.7426, 0.1623, 40.0000, 0.0144, 10.4536, 1.6517, 6.2528, 3.1000, 44.5187, 8.1400, 12.5774, 16.0910, 67.3074, 13.0000, 0.0586, 0.5645
12, 10408, 4.3855, 4.0000, 0.0012, 0.0161, 9.0000, 0.3253, -803.5000, 1799.0994, 14.0000, 27.6667, 0.0004, 0.5233, 156.8415, 0.8209, 0.1549, 10.0000, 0.0382, 9.1661, 1.6024, 6.9277, 8.8000, 43.1895, 10.1500, 14.1084, 16.8498, 63.7586, 3.0000, 0.0080, 0.6744
13, 10907, 4.7283, 4.0000, 0.0012, 0.0254, 8.0000, 0.3587, -893.5600, 1893.4990, 14.0000, 30.6667, 0.0004, 0.5579, 106.3712, 0.7867, 0.1605, 17.0000, 0.0489, 9.0602, 1.5326, 6.7935, 8.8000, 46.0496, 8.9800, 14.4548, 17.9188, 94.0104, 1.0000, 0.0274, 0.7158
14, 11420, 4.5592, 4.0000, 0.0007, 0.0232, 9.6000, 0.4145, -733.7000, 1893.6165, 14.0000, 25.3333, 0.0002, 0.5032, 118.4632, 0.8153, 0.1527, 28.0000, 0.0265, 9.7980, 1.6513, 6.5526, 3.1000, 41.4204, 9.0200, 13.7755, 17.2386, 84.4144, 6.0000, 0.0088, 0.6497
15, 12326, 3.9716, 4.0000, 0.0008, 0.0244, 6.9000, 0.3546, -1030.6800, 1445.0379, 13.5000, 35.2500, 0.0004, 0.3379, 207.3722, 0.7923, 0.1679, 21.0000, 0.0821, 10.6791, 1.5390, 6.3050, 8.1000, 40.8563, 8.7600, 16.3178, 20.0574, 48.2225, 3.0000, 0.0154, 0.5172
16, 13108, 4.5862, 4.0000, 0.0011, 0.0224, 7.9000, 0.3563, -629.8000, 2456.2495, 11.0000, 21.7500, 0.0003, 0.6154, 132.8342, 0.8122, 0.1612, 20.0000, 0.0469, 8.9231, 1.6207, 6.5632, 6.0000, 47.6484, 8.7100, 12.0166, 15.5966, 75.2818, 4.0000, 0.0041, 0.7363
17, 13600, 4.4630, 5.0000, 0.0008, 0.0200, 9.7000, 0.3704, -668.7600, 2015.4709, 11.0000, 23.1429, 0.0002, 0.4675, 136.5498, 0.8166, 0.1523, 37.0000, 0.0581, 10.0132, 1.7469, 6.7222, 6.2000, 35.5561, 9.3600, 14.0493, 19.1337, 73.2333, 6.0000, 0.0110, 0.6213
18, 14600, 4.5174, 4.0000, 0.0007, 0.0196, 8.3000, 0.4087, -742.0300, 1868.4683, 11.0000, 25.5556, 0.0002, 0.4310, 141.4541, 0.8057, 0.1604, 37.0000, 0.0459, 10.3599, 1.7217, 6.3913, 6.4000, 35.2370, 9.1300, 14.6932, 18.3961, 70.6943, 12.0000, 0.0143, 0.5900
19, 15930, 4.4312, 4.0000, 0.0007, 0.0189, 8.9000, 0.4312, -1060.1800, 2042.1161, 18.0000, 36.3333, 0.0003, 0.5714, 137.1173, 0.8252, 0.1559, 23.0000, 0.0346, 9.3027, 1.6147, 6.2202, 6.4000, 33.3548, 11.3600, 17.6332, 20.7719, 72.9302, 5.0000, 0.0000, 0.6964
20, 16567, 4.8136, 5.0000, 0.0030, 0.0134, 9.4000, 0.3390, -566.2300, 1742.2205, 9.0000, 19.6667, 0.0008, 0.6129, 78.0437, 0.8102, 0.1524, 13.0000, 0.0401, 8.2744, 1.8814, 6.9831, 3.1000, 27.7106, 9.9600, 14.2800, 19.3921, 128.1333, 2.0000, 0.0241, 0.7903
21, 16943, 4.6348, 4.0000, 0.0004, 0.0243, 9.8000, 0.3618, -706.3600, 1749.4932, 12.0000, 24.4167, 0.0001, 0.3803, 125.1277, 0.8104, 0.1522, 60.0000, 0.0374, 10.8254, 1.6348, 7.0546, 4.8000, 43.7470, 9.4600, 13.2233, 17.0022, 79.9184, 21.0000, 0.0125, 0.5344
22, 18712, 4.9385, 4.0000, 0.0006, 0.0193, 8.8000, 0.3911, -514.7500, 1857.4188, 7.5000, 17.9000, 0.0002, 0.4550, 105.2602, 0.8096, 0.1573, 44.0000, 0.0396, 10.1511, 1.6536, 7.2961, 4.9000, 48.7693, 8.7000, 10.9038, 15.2047, 95.0027, 12.0000, 0.0138, 0.6085
23, 19801, 4.2838, 4.0000, 0.0021, 0.0187, 7.3000, 0.4459, -534.2400, 1345.0203, 8.0000, 18.5000, 0.0006, 0.5385, 147.9290, 0.8080, 0.1639, 14.0000, 0.0515, 8.9070, 1.5811, 6.0270, 6.0000, 54.2980, 8.2000, 10.2818, 13.3459, 67.6000, 2.0000, 0.0094, 0.7051
24, 20230, 4.4928, 4.0000, 0.0007, 0.0250, 8.7000, 0.3623, -801.9300, 1970.9015, 14.0000, 27.6000, 0.0002, 0.5245, 137.9041, 0.7878, 0.1573, 32.0000, 0.0325, 9.6960, 1.6812, 6.9783, 6.7000, 36.5949, 9.6400, 15.0117, 17.4168, 72.5142, 8.0000, 0.0300, 0.6573
25, 21033, 4.4366, 4.0000, 0.0016, 0.0265, 6.3000, 0.3803, -513.2700, 1606.7024, 7.0000, 17.7500, 0.0005, 0.4933, 195.5556, 0.7719, 0.1698, 13.0000, 0.0716, 9.1215, 1.3380, 7.0141, 6.0000, 75.6216, 7.8900, 7.1212, 9.9169, 51.1364, 1.0000, 0.0318, 0.6533
26, 21412, 4.4125, 4.0000, 0.0005, 0.0198, 8.1000, 0.4188, -1169.7700, 1948.8667, 20.0000, 40.0000, 0.0002, 0.4756, 136.0797, 0.8071, 0.1610, 53.0000, 0.0209, 10.0319, 1.6687, 6.1688, 7.2000, 25.0588, 10.1500, 19.7013, 23.2500, 73.4863, 12.0000, 0.0121, 0.6159
27, 22321, 4.3927, 4.0000, 0.0004, 0.0247, 8.0000, 0.3887, -899.7900, 2237.1456, 19.0000, 30.8750, 0.0002, 0.4118, 170.3960, 0.8004, 0.1618, 55.0000, 0.0443, 10.7763, 1.5992, 6.5506, 3.1000, 40.2054, 9.0700, 15.3217, 19.7994, 58.6868, 9.0000, 0.0131, 0.5373
28, 23701, 4.3213, 4.0000, 0.0003, 0.0209, 9.0000, 0.4027, -802.3600, 2089.6114, 15.0000, 27.6250, 0.0002, 0.4105, 143.7806, 0.8150, 0.1563, 41.0000, 0.0379, 10.7138, 1.6697, 6.7557, 3.1000, 37.5404, 9.1400, 14.8860, 17.2038, 69.5504, 12.0000, 0.0077, 0.5415
29, 24995, 4.2015, 4.0000, 0.0011, 0.0169, 7.6000, 0.4254, -647.4100, 1567.3087, 11.0000, 22.3333, 0.0003, 0.4143, 141.8367, 0.8145, 0.1634, 38.0000, 0.0363, 10.0840, 1.6269, 6.5149, 7.8000, 46.5338, 8.4700, 12.3170, 16.6945, 70.5036, 9.0000, 0.0052, 0.5929
30, 25768, 5.0000, 4.0000, 0.0010, 0.0252, 8.4000, 0.3196, -703.1700, 1540.9553, 12.5000, 24.2500, 0.0004, 0.5248, 127.4385, 0.7946, 0.1586, 15.0000, 0.0432, 9.2806, 1.6186, 7.5773, 7.2000, 45.2914, 9.0600, 12.9665, 17.1227, 78.4692, 6.0000, 0.0216, 0.6832
31, 26325, 5.0118, 4.0000, 0.0010, 0.0372, 9.9000, 0.2899, -983.9400, 1699.2789, 14.5000, 33.8000, 0.0003, 0.4162, 96.2277, 0.8061, 0.1512, 39.0000, 0.0635, 10.1189, 1.5858, 7.8225, 7.6000, 38.3694, 9.2400, 16.3044, 20.1472, 103.9201, 10.0000, 0.0055, 0.6069
